Jean Robic,//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Jean_Robic_1947.jpg/220px-Jean_Robic_1947.jpg
Jonas Vingegaard,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Stage_18%2C_2021_TDF00101_groep_gele_trui_%2851322809050%29_Vingegaard_%28cropped%29.jpg/220px-Stage_18%2C_2021_TDF00101_groep_gele_trui_%2851322809050%29_Vingegaard_%28cropped%29.jpg
Joop Zoetemelk,//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Joop_Zoetemelk_%281971%29.jpg/220px-Joop_Zoetemelk_%281971%29.jpg
Laurent Fignon,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Laurent_FIGNON.jpg/220px-Laurent_FIGNON.jpg
Léon Scieur,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/L%C3%A9on_Scieur_1913.jpg/220px-L%C3%A9on_Scieur_1913.jpg
Louis Trousselier,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Louis_Trousselier.jpg/220px-Louis_Trousselier.jpg
Louison Bobet,//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Louison_Bobet_%281951%29.jpg/220px-Louison_Bobet_%281951%29.jpg
Lucien Aimar,//upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Tour_de_France%2C_Lucien_Aimar%2C_Bestanddeelnr_926-5234.jpg/220px-Tour_de_France%2C_Lucien_Aimar%2C_Bestanddeelnr_926-5234.jpg
Lucien Buysse,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Lucien_Buysse.jpg/220px-Lucien_Buysse.jpg
Lucien Petit-Breton,//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Lucien_Mazan.jpg/220px-Lucien_Mazan.jpg
Lucien Van Impe,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Lucien_van_Impe%2C_Acht_van_Chaam_1975_%28cropped%29.jpg/220px-Lucien_van_Impe%2C_Acht_van_Chaam_1975_%28cropped%29.jpg
Luis Ocaña,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Tour_de_France%2C_Luis_Oca%C3%B1a%2C_Bestanddeelnr_926-5233_%28cropped%29.jpg/220px-Tour_de_France%2C_Luis_Oca%C3%B1a%2C_Bestanddeelnr_926-5233_%28cropped%29.jpg
