Year,Date,Stage,Course,Distance,Type,Winner
1949,02/07/1949,3,Brussels (Belgium) to Boulogne-sur-Mer,211 km (131 mi),Plain stage,Norbert Callens (BEL)
1949,03/07/1949,4,Boulogne-sur-Mer to Rouen,185 km (115 mi),Plain stage,Lucien Teisseire (FRA)
1949,04/07/1949,5,Rouen to Saint-Malo,293 km (182 mi),Plain stage,Ferdinand Kübler (SUI)
1949,05/07/1949,6,Saint-Malo to Les Sables-d'Olonne,305 km (190 mi),Plain stage,Adolphe Deledda (FRA)
1949,07/07/1949,7,Les Sables-d'Olonne to La Rochelle,92 km (57 mi),Individual time trial,Fausto Coppi (ITA)
1949,08/07/1949,8,La Rochelle to Bordeaux,262 km (163 mi),Plain stage,Guy Lapébie (FRA)
1949,09/07/1949,9,Bordeaux to San Sebastián (Spain),228 km (142 mi),Plain stage,Louis Caput (FRA)
1949,10/07/1949,10,San Sebastián (Spain) to Pau,192 km (119 mi),Plain stage,Fiorenzo Magni (ITA)
1949,12/07/1949,11,Pau to Luchon,193 km (120 mi),Stage with mountain(s),Jean Robic (FRA)
1949,13/07/1949,12,Luchon to Toulouse,134 km (83 mi),Plain stage,Rik Van Steenbergen (BEL)
1949,14/07/1949,13,Toulouse to Nîmes,289 km (180 mi),Plain stage,Emile Idée (FRA)
1949,15/07/1949,14,Nîmes to Marseille,199 km (124 mi),Plain stage,Jean Goldschmidt (LUX)
1949,16/07/1949,15,Marseille to Cannes,215 km (134 mi),Plain stage,Désiré Keteleer (BEL)
1949,18/07/1949,16,Cannes to Briançon,275 km (171 mi),Stage with mountain(s),Gino Bartali (ITA)
1949,19/07/1949,17,Briançon to Aosta,257 km (160 mi),Stage with mountain(s),Fausto Coppi (ITA)
1949,21/07/1949,18,Aosta to Lausanne,265 km (165 mi),Stage with mountain(s),Vincenzo Rossello (ITA)
1949,22/07/1949,19,Lausanne to Colmar,283 km (176 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1949,23/07/1949,20,Colmar to Nancy,137 km (85 mi),Mountain time trial,Fausto Coppi (ITA)
1949,24/07/1949,21,Nancy to Paris,340 km (211 mi),Plain stage,Rik Van Steenbergen (BEL)
1950,13/07/1950,1,Paris to Metz,307 km (191 mi),Plain stage,Jean Goldschmit (LUX)
1950,14/07/1950,2,Metz to Liège (Belgium),241 km (150 mi),Plain stage,Adolfo Leoni (ITA)
1950,15/07/1950,3,Liège (Belgium) to Lille,232.5 km (144 mi),Plain stage,Alfredo Pasotti (ITA)
1950,16/07/1950,4,Lille to Rouen,231 km (144 mi),Plain stage,Stan Ockers (BEL)
1950,17/07/1950,5,Rouen to Dinard,316 km (196 mi),Plain stage,Giovanni Corrieri (ITA)
1950,19/07/1950,6,Dinard to Saint-Brieuc,78 km (48 mi),Individual time trial,Ferdinand Kübler (SUI)
1950,20/07/1950,7,Saint-Brieuc to Angers,248 km (154 mi),Plain stage,Nello Lauredi (FRA)
1950,21/07/1950,8,Angers to Niort,181 km (112 mi),Plain stage,Fiorenzo Magni (ITA)
1950,22/07/1950,9,Niort to Bordeaux,206 km (128 mi),Plain stage,Alfredo Pasotti (ITA)
1950,23/07/1950,10,Bordeaux to Pau,202 km (126 mi),Plain stage,Marcel Dussault (FRA)
1950,25/07/1950,11,Pau to St. Gaudens,230 km (143 mi),Stage with mountain(s),Gino Bartali (ITA)
1950,26/07/1950,12,Saint-Gaudens to Perpignan,233 km (145 mi),Plain stage,Maurice Blomme (BEL)
1950,27/07/1950,13,Perpignan to Nîmes,215 km (134 mi),Plain stage,Marcel Molinès (FRA)
1950,28/07/1950,14,Nîmes to Toulon,222 km (138 mi),Plain stage,Custodio Dos Reis (FRA)
1950,29/07/1950,15,Toulon to Menton[a],205.5 km (128 mi),Stage with mountain(s),Jean Diederich (LUX)
1950,30/07/1950,16,Menton to Nice,96 km (60 mi),Stage with mountain(s),Ferdinand Kübler (SUI)
1950,01/08/1950,17,Nice to Gap,229 km (142 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1950,02/08/1950,18,Gap to Briançon,165 km (103 mi),Stage with mountain(s),Louison Bobet (FRA)
1950,03/08/1950,19,Briançon to Saint-Étienne,291 km (181 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1950,05/08/1950,20,Saint-Étienne to Lyon,98 km (61 mi),Mountain time trial,Ferdinand Kübler (SUI)
1950,06/08/1950,21,Lyon to Dijon,233 km (145 mi),Plain stage,Gino Sciardis (FRA)
1950,07/08/1950,22,Dijon to Paris,314 km (195 mi),Plain stage,Émile Baffert (FRA)
1951,04/07/1951,1,Metz to Reims,185 km (115 mi),Plain stage,Giovanni Rossi (SUI)
1951,05/07/1951,2,Reims to Ghent (Belgium),228 km (142 mi),Plain stage,Jean Diederich (LUX)
1951,06/07/1951,3,Ghent (Belgium) to Le Tréport,219 km (136 mi),Plain stage,Georges Meunier (FRA)
1951,07/07/1951,4,Le Tréport to Paris,188 km (117 mi),Plain stage,Roger Lévêque (FRA)
1951,08/07/1951,5,Paris to Caen,215 km (134 mi),Plain stage,Serafino Biagioni (ITA)
1951,09/07/1951,6,Caen to Rennes,182 km (113 mi),Plain stage,Édouard Muller (FRA)
1951,10/07/1951,7,La Guerche-de-Bretagne to Angers,85 km (53 mi),Individual time trial,Hugo Koblet (SUI)
1951,11/07/1951,8,Angers to Limoges,241 km (150 mi),Plain stage,André Rosseel (BEL)
1951,13/07/1951,9,Limoges to Clermont-Ferrand,236 km (147 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1951,14/07/1951,10,Clermont-Ferrand to Brive,216 km (134 mi),Stage with mountain(s),Bernardo Ruiz (ESP)
1951,15/07/1951,11,Brive to Agen,177 km (110 mi),Plain stage,Hugo Koblet (SUI)
1951,16/07/1951,12,Agen to Dax,185 km (115 mi),Plain stage,Wim van Est (NED)
1951,17/07/1951,13,Dax to Tarbes,201 km (125 mi),Stage with mountain(s),Serafino Biagioni (ITA)
1951,18/07/1951,14,Tarbes to Luchon,142 km (88 mi),Stage with mountain(s),Hugo Koblet (SUI)
1951,19/07/1951,15,Luchon to Carcassonne,213 km (132 mi),Stage with mountain(s),André Rosseel (BEL)
1951,20/07/1951,16,Carcassonne to Montpellier,192 km (119 mi),Plain stage,Hugo Koblet (SUI)
1951,22/07/1951,17,Montpellier to Avignon,224 km (139 mi),Stage with mountain(s),Louison Bobet (FRA)
1951,23/07/1951,18,Avignon to Marseille,173 km (107 mi),Plain stage,Fiorenzo Magni (ITA)
1951,24/07/1951,19,Marseille to Gap,208 km (129 mi),Stage with mountain(s),Armand Baeyens (BEL)
1951,25/07/1951,20,Gap to Briançon,165 km (103 mi),Stage with mountain(s),Fausto Coppi (ITA)
1951,26/07/1951,21,Briançon to Aix-les-Bains,201 km (125 mi),Stage with mountain(s),Bernardo Ruiz (ESP)
1951,27/07/1951,22,Aix-les-Bains to Geneva,97 km (60 mi),Individual time trial,Hugo Koblet (SUI)
1951,28/07/1951,23,Geneva to Dijon,197 km (122 mi),Stage with mountain(s),Germain Derycke (BEL)
1951,29/07/1951,24,Dijon to Paris,322 km (200 mi),Plain stage,Adolphe Deledda (FRA)
1952,25/06/1952,1,Brest to Rennes,246 km (153 mi),Plain stage,Rik Van Steenbergen (BEL)
1952,26/06/1952,2,Rennes to Le Mans,181 km (112 mi),Plain stage,André Rosseel (BEL)
1952,27/06/1952,3,Le Mans to Rouen,189 km (117 mi),Plain stage,Nello Lauredi (FRA)
1952,28/06/1952,4,Rouen to Roubaix,232 km (144 mi),Plain stage,Pierre Molinéris (FRA)
1952,29/06/1952,5,Roubaix to Namur (Belgium),197 km (122 mi),Plain stage,Jean Diederich (LUX)
1952,30/06/1952,6,Namur (Belgium) to Metz,228 km (142 mi),Plain stage,Fiorenzo Magni (ITA)
1952,01/07/1952,7,Metz to Nancy,60 km (37 mi),Individual time trial,Fausto Coppi (ITA)
1952,02/07/1952,8,Nancy to Mulhouse,252 km (157 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1952,03/07/1952,9,Mulhouse to Lausanne,238 km (148 mi),Stage with mountain(s),Walter Diggelmann (SUI)
1952,04/07/1952,10,Lausanne to Alpe d'Huez,266 km (165 mi),Stage with mountain(s),Fausto Coppi (ITA)
1952,06/07/1952,11,Le Bourg-d'Oisans to Sestriere (Italy),182 km (113 mi),Stage with mountain(s),Fausto Coppi (ITA)
1952,07/07/1952,12,Sestriere (Italy) to Monaco,251 km (156 mi),Stage with mountain(s),Jan Nolten (NED)
1952,08/07/1952,13,Monaco to Aix-en-Provence,214 km (133 mi),Plain stage,Raoul Rémy (FRA)
1952,09/07/1952,14,Aix-en-Provence to Avignon,178 km (111 mi),Stage with mountain(s),Jean Robic (FRA)
1952,10/07/1952,15,Avignon to Perpignan,275 km (171 mi),Plain stage,Georges Decaux (FRA)
1952,11/07/1952,16,Perpignan to Toulouse,200 km (124 mi),Plain stage,André Rosseel (BEL)
1952,13/07/1952,17,Toulouse to Bagnères-de-Bigorre,204 km (127 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1952,14/07/1952,18,Bagnères-de-Bigorre to Pau,149 km (93 mi),Stage with mountain(s),Fausto Coppi (ITA)
1952,15/07/1952,19,Pau to Bordeaux,195 km (121 mi),Plain stage,Hans Dekkers (NED)
1952,16/07/1952,20,Bordeaux to Limoges,228 km (142 mi),Plain stage,Jacques Vivier (FRA)
1952,17/07/1952,21,Limoges to Puy de Dôme,245 km (152 mi),Stage with mountain(s),Fausto Coppi (ITA)
1952,18/07/1952,22,Clermont-Ferrand to Vichy,63 km (39 mi),Individual time trial,Fiorenzo Magni (ITA)
1952,19/07/1952,23,Vichy to Paris,354 km (220 mi),Plain stage,Antonin Rolland (FRA)
1953,03/07/1953,1,Strasbourg to Metz,195 km (121 mi),Plain stage,Fritz Schär (SUI)
1953,04/07/1953,2,Metz to Liège (Belgium),227 km (141 mi),Plain stage,Fritz Schär (SUI)
1953,05/07/1953,3,Liège (Belgium) to Lille,221 km (137 mi),Plain stage,Stanislas Bober (FRA)
1953,06/07/1953,4,Lille to Dieppe,188 km (117 mi),Plain stage,Gerrit Voorting (NED)
1953,07/07/1953,5,Dieppe to Caen,200 km (124 mi),Plain stage,Jean Malléjac (FRA)
1953,08/07/1953,6,Caen to Le Mans,206 km (128 mi),Plain stage,Martin Van Geneugden (BEL)
1953,09/07/1953,7,Le Mans to Nantes,181 km (112 mi),Plain stage,Livio Isotti (ITA)
1953,10/07/1953,8,Nantes to Bordeaux,345 km (214 mi),Plain stage,Jan Nolten (NED)
1953,12/07/1953,9,Bordeaux to Pau,197 km (122 mi),Plain stage,Fiorenzo Magni (ITA)
1953,13/07/1953,10,Pau to Cauterets,103 km (64 mi),Stage with mountain(s),Jesús Loroño (ESP)
1953,14/07/1953,11,Cauterets to Luchon,115 km (71 mi),Stage with mountain(s),Jean Robic (FRA)
1953,15/07/1953,12,Luchon to Albi,228 km (142 mi),Plain stage,André Darrigade (FRA)
1953,16/07/1953,13,Albi to Béziers,189 km (117 mi),Stage with mountain(s),Nello Lauredi (FRA)
1953,17/07/1953,14,Béziers to Nîmes,214 km (133 mi),Stage with mountain(s),Bernard Quennehen (FRA)
1953,18/07/1953,15,Nîmes to Marseille,173 km (107 mi),Plain stage,Maurice Quentin (FRA)
1953,19/07/1953,16,Marseille to Monaco,236 km (147 mi),Stage with mountain(s),Wim van Est (NED)
1953,21/07/1953,17,Monaco to Gap,261 km (162 mi),Stage with mountain(s),Wout Wagtmans (NED)
1953,22/07/1953,18,Gap to Briançon,165 km (103 mi),Stage with mountain(s),Louison Bobet (FRA)
1953,23/07/1953,19,Briançon to Lyon,227 km (141 mi),Stage with mountain(s),Georges Meunier (FRA)
1953,24/07/1953,20,Lyon to St. Etienne,70 km (43 mi),Individual time trial,Louison Bobet (FRA)
1953,25/07/1953,21,St. Etienne to Montluçon,210 km (130 mi),Plain stage,Wout Wagtmans (NED)
1953,26/07/1953,22,Montluçon to Paris,328 km (204 mi),Plain stage,Fiorenzo Magni (ITA)
1954,08/07/1954,1,Amsterdam (Netherlands) to Brasschaat (Belgium),216 km (134 mi),Plain stage,Wout Wagtmans (NED)
1954,09/07/1954,2,Beveren (Belgium) to Lille,255 km (158 mi),Plain stage,Louison Bobet (FRA)
1954,10/07/1954,3,Lille to Rouen,219 km (136 mi),Plain stage,Marcel Dussault (FRA)
1954,11/07/1954,4a,Rouen to Circuit des Essarts,10.4 km (6 mi),Team time trial,Switzerland
1954,11/07/1954,4b,Rouen to Caen,131 km (81 mi),Plain stage,Wim van Est (NED)
1954,12/07/1954,5,Caen to Saint-Brieuc,224 km (139 mi),Plain stage,Ferdinand Kübler (SUI)
1954,13/07/1954,6,Saint-Brieuc to Brest,179 km (111 mi),Plain stage,Dominique Forlini (FRA)
1954,14/07/1954,7,Brest to Vannes,211 km (131 mi),Plain stage,Jacques Vivier (FRA)
1954,15/07/1954,8,Vannes to Angers,190 km (118 mi),Plain stage,Fred De Bruyne (BEL)
1954,16/07/1954,9,Angers to Bordeaux,343 km (213 mi),Plain stage,Henk Faanhof (NED)
1954,18/07/1954,10,Bordeaux to Bayonne,202 km (126 mi),Plain stage,Gilbert Bauvin (FRA)
1954,19/07/1954,11,Bayonne to Pau,241 km (150 mi),Stage with mountain(s),Stan Ockers (BEL)
1954,20/07/1954,12,Pau to Luchon,161 km (100 mi),Stage with mountain(s),Gilbert Bauvin (FRA)
1954,21/07/1954,13,Luchon to Toulouse,203 km (126 mi),Plain stage,Fred De Bruyne (BEL)
1954,22/07/1954,14,Toulouse to Millau,225 km (140 mi),Stage with mountain(s),Ferdinand Kübler (SUI)
1954,23/07/1954,15,Millau to Le Puy,197 km (122 mi),Stage with mountain(s),Dominique Forlini (FRA)
1954,24/07/1954,16,Le Puy to Lyon,194 km (121 mi),Stage with mountain(s),Jean Forestier (FRA)
1954,26/07/1954,17,Lyon to Grenoble,182 km (113 mi),Stage with mountain(s),Lucien Lazaridès (FRA)
1954,27/07/1954,18,Grenoble to Briançon,216 km (134 mi),Stage with mountain(s),Louison Bobet (FRA)
1954,28/07/1954,19,Briançon to Aix-les-Bains,221 km (137 mi),Stage with mountain(s),Jean Dotto (FRA)
1954,29/07/1954,20,Aix les Bains to Besançon,243 km (151 mi),Stage with mountain(s),Lucien Teisseire (FRA)
1954,30/07/1954,21a,Besançon to Épinal,134 km (83 mi),Plain stage,François Mahé (FRA)
1954,30/07/1954,21b,Epinal to Nancy,72 km (45 mi),Individual time trial,Louison Bobet (FRA)
1954,31/07/1954,22,Nancy to Troyes,216 km (134 mi),Plain stage,Fred De Bruyne (BEL)
1954,01/08/1954,23,Troyes to Paris,180 km (112 mi),Plain stage,Robert Varnajo (FRA)
1955,07/07/1955,1a,Le Havre to Dieppe,102 km (63 mi),Plain stage,Miguel Poblet (ESP)
1955,07/07/1955,1b,Dieppe,12.5 km (8 mi),Team time trial,Netherlands
1955,08/07/1955,2,Dieppe to Roubaix,204 km (127 mi),Plain stage,Antonin Rolland (FRA)
1955,09/07/1955,3,Roubaix to Namur (Belgium),210 km (130 mi),Plain stage,Louison Bobet (FRA)
1955,10/07/1955,4,Namur (Belgium) to Metz,225 km (140 mi),Plain stage,Willy Kemp (LUX)
1955,11/07/1955,5,Metz to Colmar,229 km (142 mi),Plain stage,Roger Hassenforder (FRA)
1955,12/07/1955,6,Colmar to Zürich (Switzerland),195 km (121 mi),Plain stage,André Darrigade (FRA)
1955,13/07/1955,7,Zürich (Switzerland) to Thonon-les-Bains,267 km (166 mi),Plain stage,Jos Hinsen (NED)
1955,14/07/1955,8,Thonon-les-Bains to Briançon,253 km (157 mi),Stage with mountain(s),Charly Gaul (LUX)
1955,15/07/1955,9,Briançon to Monaco,275 km (171 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1955,17/07/1955,10,Monaco to Marseille,240 km (149 mi),Plain stage,Lucien Lazaridès (FRA)
1955,18/07/1955,11,Marseille to Avignon,198 km (123 mi),Stage with mountain(s),Louison Bobet (FRA)
1955,19/07/1955,12,Avignon to Millau,240 km (149 mi),Stage with mountain(s),Alessandro Fantini (ITA)
1955,20/07/1955,13,Millau to Albi,205 km (127 mi),Plain stage,Daan de Groot (NED)
1955,21/07/1955,14,Albi to Narbonne,156 km (97 mi),Stage with mountain(s),Louis Caput (FRA)
1955,22/07/1955,15,Narbonne to Ax-les-Thermes,151 km (94 mi),Plain stage,Luciano Pezzi (ITA)
1955,24/07/1955,16,Ax-les-Thermes to Toulouse,123 km (76 mi),Plain stage,Rik Van Steenbergen (BEL)
1955,25/07/1955,17,Toulouse to Saint-Gaudens,250 km (155 mi),Stage with mountain(s),Charly Gaul (LUX)
1955,26/07/1955,18,Saint-Gaudens to Pau,205 km (127 mi),Stage with mountain(s),Jean Brankart (BEL)
1955,27/07/1955,19,Pau to Bordeaux,195 km (121 mi),Plain stage,Wout Wagtmans (NED)
1955,28/07/1955,20,Bordeaux to Poitiers,243 km (151 mi),Plain stage,Jean Forestier (FRA)
1955,29/07/1955,21,Châtellerault to Tours,68.6 km (43 mi),Individual time trial,Jean Brankart (BEL)
1955,30/07/1955,22,Tours to Paris,229 km (142 mi),Plain stage,Miguel Poblet (ESP)
1956,05/07/1956,1,Reims to Liège (Belgium),223 km (139 mi),Plain stage,André Darrigade (FRA)
1956,06/07/1956,2,Liège (Belgium) to Lille,217 km (135 mi),Plain stage,Fred De Bruyne (BEL)
1956,07/07/1956,3,Lille to Rouen,225 km (140 mi),Plain stage,Arigo Padovan (ITA)
1956,08/07/1956,4a,Circuit de Rouen-Les-Essarts,15.1 km (9 mi),Individual time trial,Charly Gaul (LUX)
1956,08/07/1956,4b,Rouen to Caen,125 km (78 mi),Plain stage,Roger Hassenforder (FRA)
1956,09/07/1956,5,Caen to Saint-Malo,189 km (117 mi),Plain stage,Joseph Morvan (FRA)
1956,10/07/1956,6,Saint-Malo to Lorient,192 km (119 mi),Plain stage,Fred De Bruyne (BEL)
1956,11/07/1956,7,Lorient to Angers,244 km (152 mi),Plain stage,Alessandro Fantini (ITA)
1956,12/07/1956,8,Angers to La Rochelle,180 km (112 mi),Plain stage,Miguel Poblet (ESP)
1956,13/07/1956,9,La Rochelle to Bordeaux,219 km (136 mi),Plain stage,Roger Hassenforder (FRA)
1956,15/07/1956,10,Bordeaux to Bayonne,201 km (125 mi),Plain stage,Fred De Bruyne (BEL)
1956,16/07/1956,11,Bayonne to Pau,255 km (158 mi),Stage with mountain(s),Nino Defilippis (ITA)
1956,17/07/1956,12,Pau to Luchon,130 km (81 mi),Stage with mountain(s),Jean-Pierre Schmitz (LUX)
1956,18/07/1956,13,Luchon to Toulouse,176 km (109 mi),Stage with mountain(s),Nino Defilippis (ITA)
1956,19/07/1956,14,Toulouse to Montpellier,231 km (144 mi),Plain stage,Roger Hassenforder (FRA)
1956,20/07/1956,15,Montpellier to Aix-en-Provence,204 km (127 mi),Plain stage,Joseph Thomin (FRA)
1956,22/07/1956,16,Aix-en-Provence to Gap,203 km (126 mi),Stage with mountain(s),Jean Forestier (FRA)
1956,23/07/1956,17,Gap to Turin (Italy),234 km (145 mi),Stage with mountain(s),Nino Defilippis (ITA)
1956,24/07/1956,18,Turin (Italy) to Grenoble,250 km (155 mi),Stage with mountain(s),Charly Gaul (LUX)
1956,25/07/1956,19,Grenoble to Saint-Étienne,173 km (107 mi),Stage with mountain(s),Stan Ockers (BEL)
1956,26/07/1956,20,Saint-Étienne to Lyon,73 km (45 mi),Individual time trial,Miguel Bover (ESP)
1956,27/07/1956,21,Lyon to Montluçon,237 km (147 mi),Stage with mountain(s),Roger Hassenforder (FRA)
1956,28/07/1956,22,Montluçon to Paris,331 km (206 mi),Plain stage,Gastone Nencini (ITA)
1957,27/06/1957,1,Nantes to Granville,204 km (127 mi),Plain stage,André Darrigade (FRA)
1957,28/06/1957,2,Granville to Caen,226 km (140 mi),Plain stage,René Privat (FRA)
1957,29/06/1957,3a,"Circuit de la Prairie, Caen",15 km (9.3 mi),Team time trial,France
1957,29/06/1957,3b,Caen to Rouen,134 km (83 mi),Plain stage,Jacques Anquetil (FRA)
1957,30/06/1957,4,Rouen to Roubaix,232 km (144 mi),Plain stage,Marcel Janssens (BEL)
1957,01/07/1957,5,Roubaix to Charleroi,170 km (110 mi),Plain stage,Gilbert Bauvin (FRA)
1957,02/07/1957,6,Charleroi to Metz,248 km (154 mi),Plain stage,André Trochut (FRA)
1957,03/07/1957,7,Metz to Colmar,223 km (139 mi),Stage with mountain(s),Roger Hassenforder (FRA)
1957,04/07/1957,8,Colmar to Besançon,192 km (119 mi),Plain stage,Pierino Baffi (ITA)
1957,05/07/1957,9,Besançon to Thonon-les-Bains,188 km (117 mi),Plain stage,Jacques Anquetil (FRA)
1957,07/07/1957,10,Thonon-les-Bains to Briançon,247 km (153 mi),Stage with mountain(s),Gastone Nencini (ITA)
1957,08/07/1957,11,Briançon to Cannes,286 km (178 mi),Stage with mountain(s),René Privat (FRA)
1957,09/07/1957,12,Cannes to Marseille,239 km (149 mi),Stage with mountain(s),Jean Stablinski (FRA)
1957,10/07/1957,13,Marseille to Alès,160 km (99 mi),Plain stage,Nino Defilippis (ITA)
1957,11/07/1957,14,Alès to Perpignan,246 km (153 mi),Plain stage,Roger Hassenforder (FRA)
1957,12/07/1957,15a,Perpignan to Barcelona (Spain),197 km (122 mi),Plain stage,René Privat (FRA)
1957,12/07/1957,15b,Montjuïc circuit (Spain),9.8 km (6.1 mi),Individual time trial,Jacques Anquetil (FRA)
1957,14/07/1957,16,Barcelona (Spain) to Ax-les-Thermes,220 km (140 mi),Stage with mountain(s),Jean Bourlès (FRA)
1957,15/07/1957,17,Ax-les-Thermes to Saint-Gaudens,236 km (147 mi),Stage with mountain(s),Nino Defilippis (ITA)
1957,16/07/1957,18,Saint-Gaudens to Pau,207 km (129 mi),Stage with mountain(s),Gastone Nencini (ITA)
1957,17/07/1957,19,Pau to Bordeaux,194 km (121 mi),Plain stage,Pierino Baffi (ITA)
1957,18/07/1957,20,Bordeaux to Libourne,66 km (41 mi),Individual time trial,Jacques Anquetil (FRA)
1957,19/07/1957,21,Libourne to Tours,317 km (197 mi),Plain stage,André Darrigade (FRA)
1957,20/07/1957,22,Tours to Paris,227 km (141 mi),Plain stage,André Darrigade (FRA)
1958,26/06/1958,1,Brussels (Belgium) to Ghent (Belgium),184 km (114 mi),Plain stage,André Darrigade (FRA)
1958,27/06/1958,2,Ghent (Belgium) to Dunkirk,198 km (123 mi),Plain stage,Gerrit Voorting (NED)
1958,28/06/1958,3,Dunkirk to Mers-les-Bains,177 km (110 mi),Plain stage,Gilbert Bauvin (FRA)
1958,29/06/1958,4,Le Tréport to Versailles,205 km (127 mi),Plain stage,Jean Gainche (FRA)
1958,30/06/1958,5,Versailles to Caen,232 km (144 mi),Plain stage,Tino Sabbadini (FRA)
1958,01/07/1958,6,Caen to Saint-Brieuc,223 km (139 mi),Plain stage,Martin van Geneugden (BEL)
1958,02/07/1958,7,Saint-Brieuc to Brest,170 km (110 mi),Plain stage,Brian Robinson (GBR)
1958,03/07/1958,8,Châteaulin,46 km (29 mi),Individual time trial,Charly Gaul (LUX)
1958,04/07/1958,9,Quimper to Saint-Nazaire,206 km (128 mi),Plain stage,André Darrigade (FRA)
1958,05/07/1958,10,Saint-Nazaire to Royan,255 km (158 mi),Plain stage,Pierino Baffi (ITA)
1958,06/07/1958,11,Royan to Bordeaux,137 km (85 mi),Plain stage,Arigo Padovan (ITA)
1958,07/07/1958,12,Bordeaux to Dax,161 km (100 mi),Plain stage,Martin van Geneugden (BEL)
1958,08/07/1958,13,Dax to Pau,230 km (140 mi),Stage with mountain(s),Louis Bergaud (FRA)
1958,09/07/1958,14,Pau to Luchon,129 km (80 mi),Stage with mountain(s),Federico Bahamontes (ESP)
1958,10/07/1958,15,Luchon to Toulouse,176 km (109 mi),Stage with mountain(s),André Darrigade (FRA)
1958,11/07/1958,16,Toulouse to Béziers,187 km (116 mi),Plain stage,Pierino Baffi (ITA)
1958,12/07/1958,17,Béziers to Nîmes,189 km (117 mi),Plain stage,André Darrigade (FRA)
1958,13/07/1958,18,Bédoin to Mont-Ventoux,21 km (13 mi),Mountain time trial,Charly Gaul (LUX)
1958,14/07/1958,19,Carpentras to Gap,178 km (111 mi),Stage with mountain(s),Gastone Nencini (ITA)
1958,15/07/1958,20,Gap to Briançon,165 km (103 mi),Stage with mountain(s),Federico Bahamontes (ESP)
1958,16/07/1958,21,Briançon to Aix-les-Bains,219 km (136 mi),Stage with mountain(s),Charly Gaul (LUX)
1958,17/07/1958,22,Aix-les-Bains to Besançon,237 km (147 mi),Stage with mountain(s),André Darrigade (FRA)
1958,18/07/1958,23,Besançon to Dijon,74 km (46 mi),Individual time trial,Charly Gaul (LUX)
1958,19/07/1958,24,Dijon to Paris,320 km (200 mi),Plain stage,Pierino Baffi (ITA)
1959,25/06/1959,1,Mulhouse to Metz,238 km (148 mi),Plain stage,André Darrigade (FRA)
1959,26/06/1959,2,Metz to Namur (Belgium),234 km (145 mi),Plain stage,Vito Favero (ITA)
1959,27/06/1959,3,Namur (Belgium) to Roubaix,217 km (135 mi),Plain stage,Robert Cazala (FRA)
1959,28/06/1959,4,Roubaix to Rouen,230 km (140 mi),Plain stage,Dino Bruni (ITA)
1959,29/06/1959,5,Rouen to Rennes,286 km (178 mi),Plain stage,Jean Graczyk (FRA)
1959,30/06/1959,6,Blain to Nantes,45 km (28 mi),Individual time trial,Roger Rivière (FRA)
1959,01/07/1959,7,Nantes to La Rochelle,190 km (120 mi),Plain stage,Roger Hassenforder (FRA)
1959,02/07/1959,8,La Rochelle to Bordeaux,201 km (125 mi),Plain stage,Michel Dejouhannet (FRA)
1959,03/07/1959,9,Bordeaux to Bayonne,207 km (129 mi),Plain stage,Marcel Queheille (FRA)
1959,05/07/1959,10,Bayonne to Bagnères-de-Bigorre,235 km (146 mi),Stage with mountain(s),Marcel Janssens (BEL)
1959,06/07/1959,11,Bagnères-de-Bigorre to Saint-Gaudens,119 km (74 mi),Stage with mountain(s),André Darrigade (FRA)
1959,07/07/1959,12,Saint-Gaudens to Albi,184 km (114 mi),Plain stage,Rolf Graf (SUI)
1959,08/07/1959,13,Albi to Aurillac,219 km (136 mi),Stage with mountain(s),Henry Anglade (FRA)
1959,09/07/1959,14,Aurillac to Clermont-Ferrand,231 km (144 mi),Stage with mountain(s),André Le Dissez (FRA)
1959,10/07/1959,15,Puy de Dôme,12 km (7.5 mi),Mountain time trial,Federico Bahamontes (ESP)
1959,11/07/1959,16,Clermont-Ferrand to Saint-Étienne,210 km (130 mi),Plain stage,Dino Bruni (ITA)
1959,13/07/1959,17,Saint-Étienne to Grenoble,197 km (122 mi),Stage with mountain(s),Charly Gaul (LUX)
1959,14/07/1959,18,Grenoble to Saint-Vincent (Italy),243 km (151 mi),Stage with mountain(s),Ercole Baldini (ITA)
1959,15/07/1959,19,Saint-Vincent (Italy) to Annecy,251 km (156 mi),Stage with mountain(s),Rolf Graf (SUI)
1959,16/07/1959,20,Annecy to Chalon-sur-Saône,202 km (126 mi),Plain stage,Brian Robinson (GBR)
1959,17/07/1959,21,Seurre to Dijon,69 km (43 mi),Individual time trial,Roger Rivière (FRA)
1959,18/07/1959,22,Dijon to Paris,331 km (206 mi),Plain stage,Joseph Groussard (FRA)
1960,26/06/1960,1a,Lille to Brussels (Belgium),108 km (67 mi),Plain stage,Julien Schepens (BEL)
1960,26/06/1960,1b,Brussels (Belgium),27.8 km (17.3 mi),Individual time trial,Roger Rivière (FRA)
1960,27/06/1960,2,Brussels (Belgium) to Dunkirk,206 km (128 mi),Plain stage,René Privat (FRA)
1960,28/06/1960,3,Dunkirk to Dieppe,209 km (130 mi),Plain stage,Nino Defilippis (ITA)
